timestamp,image_path,pred_lon,pred_lat,pred_alt,gt_lon,gt_lat,gt_alt,pixel_dx,pixel_dy,inlier_ratio,scale_confidence,yaw_deg,blur_score,method,raw_alt_estimate,flight_phase,phase_confidence,phase_from_vision,scale_trend,scale_trend_ratio,up_ratio,down_ratio,stable_ratio,scale_method,divergence_ratio,affine_scale,consistency_diff,pixels_per_meter_used,is_alt_fixed,cumulative_window_n,delta_alt_cumulative,mpp_history_median,mpp_current_raw,mpp_ratio,alt_fixed_triggered,physics_flag,ekf_innovation_alt,ekf_v_alt,ekf_update_mode,is_keyframe_reset,num_tracked,affine_rotation_deg,phase_dx,phase_dy,phase_response,fourier_rotation_deg,fourier_response,map_pixel_dx,map_pixel_dy,horizontal_error,altitude_error
1734763664200,F:\agent\UAV\data\IR-image\1734763664200.jpg,116.168975,38.8121207,483.54,116.168975,38.8121207,483.54,0.0,0.0,0.8336933045356372,0.0,-101.32000000000026,2069.682235590285,initial,483.54,C,1.0,C,transition,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,4,,,,,False,0,,,,,0,0,0.0,0.0,3,True,500,,,,0.0,,0.0,,,0.0,0.0
1734763664400,F:\agent\UAV\data\IR-image\1734763664400.jpg,116.16903220111931,38.81212275982366,482.85794583066775,116.1690312,38.8121209,484.06,-3.2004424972495826,13.459261937601752,0.7379032258064516,0.84,-100.72981881959346,2790.3574093147745,lk,482.7207423592081,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0022532825643715,1.0011416679282554,0.0011116146361160872,2.787617990195438,False,1,-1.0871027016129633,0.35903362187508686,0.35872921021358833,0.9991521360592673,0,0,-0.8192576407919319,-3.401766396651986e-08,1,False,366,-0.590181180406808,-4.902612266898075,12.86064304112844,0.9015306564047932,,0.2940217964060139,,,0.22425776362087876,1.202054169332257
1734763664600,F:\agent\UAV\data\IR-image\1734763664600.jpg,116.16903242878546,38.812122768021965,482.8579458238642,116.1690873,38.8121209,484.58,-3.9541460123271577,8.881526857376372,0.47584789311408016,0.84,-100.50863547477073,5070.417090787356,orb+phase,482.0714530244842,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0013033534456777,1.0014863895317314,0.000183036086053745,2.7914613676033646,False,2,-1.7126716469959196,0.35872921021358833,0.35824669717901836,0.9986549379843289,0,0,-0.8018295336579513,-3.401766396651986e-08,3,True,463,-0.22118334482273688,-3.9541460123271577,8.881526857376372,0.9160795072093606,,0.3273996934585739,,,4.75878619957998,1.7220541761357708
1734763664800,F:\agent\UAV\data\IR-image\1734763664800.jpg,116.16909675960314,38.81214154689961,482.49783057217786,116.1691435,38.8121208,485.11,-8.457865410245915,14.24866648510124,0.655241935483871,0.84,-100.09707447855871,4387.137644921206,lk,481.9777752231664,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0015584370083521,1.00195032057132,0.0003918835629679318,2.791634865013775,False,3,-2.4613394969477924,0.3584879536963034,0.35817708143489885,0.9991328236884972,0,0,-0.8317888488621747,-0.003115592835692063,1,False,325,-0.41156099621202186,-9.51435437134569,13.431331609642456,0.9636174551211297,,0.33784805121831596,,,4.660754423049968,2.6121694278221526
1734763665000,F:\agent\UAV\data\IR-image\1734763665000.jpg,116.16914620830366,38.81214773914956,482.24130411899176,116.1691998,38.8121208,485.62,-3.905626375567806,11.353829793794887,0.8615384615384616,0.84,-99.88533180029341,5091.775491268848,lk,482.1026509125951,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,0.9987297826386642,1.000677913645677,0.0019481310070127433,2.7929123913975706,False,4,-1.8489729225205676,0.35826988158519835,0.35826988158519835,1.0,0,0,-0.6915375780625936,-0.009041518102234768,1,False,280,-0.2117426782652965,-4.075293427578458,11.336306467035257,0.960501543385908,,0.36920993981766514,,,5.525764614233588,3.378695881008241
1734763665200,F:\agent\UAV\data\IR-image\1734763665200.jpg,116.16921104404807,38.81215624358531,482.08727623295215,116.169256,38.8121206,486.12,-5.263207236976029,14.847406178437382,0.7571428571428571,0.84,-99.98346666279079,5265.783913881323,lk,481.8476654090721,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0003348117127113,1.0007925710357282,0.00045775932301683753,2.793853051385647,False,5,-2.0087722192864974,0.35825828938210835,0.35808039159591865,0.9995034370691143,0,0,-0.5960446776538788,-0.016888748723473332,1,False,212,0.09813486249737662,-5.054840465476673,14.703667359766229,0.9469876596704125,,0.36287649325095117,,,5.557040043192616,4.032723767047855
1734763665400,F:\agent\UAV\data\IR-image\1734763665400.jpg,116.16921196968642,38.81215638299577,482.08389848320746,116.1693123,38.8121203,486.59,-10.208207673871698,7.772019187273969,0.441,0.84,-100.14882849716643,3039.052411629995,orb+phase,481.76078192791783,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0006457708864478,1.0005394278597612,0.0001063430266865506,2.794306453335836,False,6,-2.317942963821249,0.35824669717901836,0.3580158249845426,0.9993555496916127,0,0,-0.5185984300931636,-0.016888748723473332,3,True,441,0.16536183437564075,-10.208207673871698,7.772019187273969,0.8870111646130681,,0.30175940168555826,,,9.574256032492691,4.506101516792512
1734763665600,F:\agent\UAV\data\IR-image\1734763665600.jpg,116.16922961675361,38.81222219958789,482.0805207334628,116.1693685,38.81212,487.15,-20.805367070346847,0.34174933339522795,0.5529531568228105,0.168,-100.27991901954842,5662.808925111211,orb,481.2192316405543,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0004586478410524,1.0028291400905138,0.002370492249461398,2.7947764815585914,False,7,-2.5378679254178507,0.3582118893069586,0.35761337717190583,0.9983291673087381,0,1,-0.5962108001731394,-0.016888748723473332,2,False,543,0.13109052238197655,-20.57290385269755,0.013960553138701925,0.9474481770768761,,0.325671344762668,,,16.55126687831129,5.069479266537201
1734763665800,F:\agent\UAV\data\IR-image\1734763665800.jpg,116.16928783111426,38.812230542892486,481.9048607850038,116.1694246,38.8121198,487.76,-4.885797944502315,13.201568633074714,1.0,0.84,-100.20201212930967,5676.659542171807,lk,481.6070514561143,C,0.5,A_up,up,"up=0.000,stable=0.000,down=0.000",0.0,0.0,0.0,1,1.0029601304307019,1.0009260990696185,0.002034031361083377,2.794597918290906,False,8,-3.953159496737691,0.35817708143489885,0.35790158168423125,0.9992308280877048,0,0,-0.5620681911410657,-0.047128805286104136,1,False,543,-0.07790689023875523,-5.013937772166514,12.942600668247309,0.9704501037485898,,0.3942985874164151,,,17.08984107574609,5.8551392149962
1734763666000,F:\agent\UAV\data\IR-image\1734763666000.jpg,116.16931230743103,38.81220017942649,481.89543502394656,116.1694808,38.8121197,488.33,8.441366754916032,7.217283175240823,1.0,0.252,-100.04285833947166,5168.802823350989,lk,481.44931284077006,C,0.7333333333333333,A_up,transition,"up=0.000,stable=0.500,down=0.400",0.0,0.4,0.5,1,1.003637807168152,1.0005412503071927,0.003096556860959332,2.795397736033316,False,9,-5.6840346893193425,0.3581287365154088,0.35778435977115153,0.9990383995777383,0,3,-0.5181310734549243,-0.047128805286104136,2,False,543,-0.15915378983800782,7.980411523146074,7.203963158519031,0.9868066227529197,,0.392675049835816,,,17.12334439931136,6.434564976053423
